respid,Gender,Age,Age_Breaks,Region2,Race,Language_Dominance,Parent,HH_Income,Employment,Education,Marital_Status,Total_Paid_HE_Movies,Bought_Disc_DVD,Bought_Disc_BD,Bought_Digital,Rented_Disc_Store,Rented_Disc_Kiosk,Rented_Disc_Mail,Rented_Digital_iVOD,Rented_Digital_sVOD,Rented_Digital_cVOD,cqhidGroup,filter_$,ZTotal_Paid_HE_Movies,Buy_Disc_Percent,Buy_Digital_Percent,Rent_Disc_Percent,Rent_Digital_Percent
4904,1,26,25-34,3,1, ,2,1,2,4,1,4,1,1,0,0,0,0,1,0,1,1,1,-.608657122286764,.5,0,0,.5
4906,2,43,35-44,3,1, ,1,10,4,3,3,20,5,5,0,0,10,0,0,0,0,1,1,.050589031320717,.5,0,.5,0
4910,1,67,65-74,1,1, ,2,6,1,4,1,8,0,0,0,0,0,0,1,6,1,1,1,-.443845583884894,0,0,0,1
4919,2,46,45-54,2,1, ,2,7,1,6,1,32,0,0,0,0,4,0,3,20,5,1,1,.545023646526328,0,0,.125,.875
4922,1,28,25-34,4,5,3,1,4,1,4,1,25,2,5,3,6,0,0,2,3,4,1,1,.256603454323055,.28,.12,.24,.36
4926,2,37,35-44,2,1, ,1,3,2,3,3,10,6,2,0,0,0,0,0,2,0,1,1,-.361439814683959,.8,0,0,.2
4927,1,37,35-44,3,1, ,1,5,1,6,3,40,0,8,0,18,4,0,4,0,6,1,1,.874646723330069,.2,0,.55,.25
4928,1,49,45-54,4,1, ,1,6,1,6,3,10,1,1,0,0,8,0,0,0,0,1,1,-.361439814683959,.2,0,.8,0
4929,2,51,45-54,4,1, ,1,7,2,2,3,8,0,1,1,0,1,0,0,3,2,1,1,-.443845583884894,.125,.125,.125,.625
4930,2,43,35-44,2,1, ,1,6,4,3,3,2,0,1,0,0,1,0,0,0,0,1,1,-.691062891487699,.5,0,.5,0
4932,1,26,25-34,3,2, ,2,8,2,4,1,13,2,1,1,2,1,0,2,3,1,1,1,-.237831160882556,.230769230769231,.0769230769230769,.230769230769231,.461538461538462
4937,2,33,25-34,4,1, ,1,5,1,6,3,1,0,0,0,0,1,0,0,0,0,1,1,-.732265776088167,0,0,1,0
4938,2,34,25-34,1,1, ,2,1,4,3,1,3,0,1,0,0,0,0,0,2,0,1,1,-.649860006887232,.333333333333333,0,0,.666666666666667
4939,2,40,35-44,3,5,5,1,6,1,4,3,24,4,0,0,0,10,0,0,10,0,1,1,.215400569722587,.166666666666667,0,.416666666666667,.416666666666667
4940,2,41,35-44,2,1, ,1,6,1,6,3,11,0,0,0,0,2,3,4,2,0,1,1,-.320236930083491,0,0,.454545454545455,.545454545454545
4947,2,27,25-34,1,1, ,1,3,1,3,3,10,0,0,0,0,0,0,0,10,0,1,1,-.361439814683959,0,0,0,1
4948,1,35,35-44,1,1, ,1,6,1,4,3,49,0,6,11,0,0,8,4,10,10,1,1,1.24547268473428,.122448979591837,.224489795918367,.163265306122449,.489795918367347
4951,2,33,25-34,3,1, ,1,4,2,2,1,7,4,1,0,1,1,0,0,0,0,1,1,-.485048468485362,.714285714285714,0,.285714285714286,0
4953,1,35,35-44,1,3, ,2,7,1,6,1,1,0,0,0,0,1,0,0,0,0,1,1,-.732265776088167,0,0,1,0
4964,2,35,35-44,1,1, ,2,4,1,6,2,10,0,0,0,0,0,0,0,10,0,1,1,-.361439814683959,0,0,0,1
4966,1,23,18-24,2,4, ,2,4,1,4,1,43,0,28,0,0,0,0,0,15,0,1,1,.998255377131471,.651162790697674,0,0,.348837209302326
4967,2,39,35-44,2,2, ,1,2,4,3,4,4,4,0,0,0,0,0,0,0,0,1,1,-.608657122286764,1,0,0,0
4971,1,32,25-34,3,1, ,1,4,1,3,3,53,0,0,0,0,3,0,0,50,0,1,1,1.41028422313615,0,0,.0566037735849057,.943396226415094
4972,2,34,25-34,2,1, ,1,9,1,6,3,28,0,0,0,0,7,0,0,20,1,1,1,.380212108124458,0,0,.25,.75
4976,1,37,35-44,2,1, ,1,4,1,6,3,4,0,0,0,0,1,0,0,3,0,1,1,-.608657122286764,0,0,.25,.75
4979,1,34,25-34,1,1, ,1,7,1,3,3,63,7,7,7,7,7,7,7,7,7,1,1,1.82231306914082,.222222222222222,.111111111111111,.333333333333333,.333333333333333
4980,1,40,35-44,3,1, ,1,7,1,4,3,21,1,1,0,0,0,10,1,8,0,1,1,.0917919159211846,.0952380952380952,0,.476190476190476,.428571428571429
4989,2,39,35-44,4,5,2,1,5,1,4,3,89,4,10,0,0,5,0,0,30,40,1,1,2.89358806875298,.157303370786517,0,.0561797752808989,.786516853932584
4994,1,40,35-44,1,1, ,2,6,1,3,1,5,0,0,0,0,0,0,0,5,0,1,1,-.567454237686297,0,0,0,1
4996,2,32,25-34,1,1, ,2,7,1,6,3,13,0,0,0,0,0,0,3,10,0,1,1,-.237831160882556,0,0,0,1
5006,2,44,35-44,4,1, ,2,7,1,4,3,5,1,0,0,0,4,0,0,0,0,1,1,-.567454237686297,.2,0,.8,0
5010,1,29,25-34,3,1, ,1,6,1,4,4,5,0,2,0,0,3,0,0,0,0,1,1,-.567454237686297,.4,0,.6,0
5012,2,23,18-24,1,1, ,2,10,2,4,1,9,0,0,0,0,2,0,1,5,1,1,1,-.402642699284426,0,0,.222222222222222,.777777777777778
5013,2,29,25-34,2,1, ,1,8,1,6,3,1,0,0,0,0,1,0,0,0,0,1,1,-.732265776088167,0,0,1,0
5016,2,29,25-34,2,1, ,1,7,1,6,3,10,0,0,0,0,0,0,0,10,0,1,1,-.361439814683959,0,0,0,1
5018,1,33,25-34,2,1, ,1,4,1,4,3,14,3,3,0,0,5,0,0,3,0,1,1,-.196628276282088,.428571428571429,0,.357142857142857,.214285714285714
5029,2,29,25-34,3,5,2,2,1,4,5,1,4,0,0,0,0,0,0,0,4,0,1,1,-.608657122286764,0,0,0,1
5032,2,55,55-64,1,1, ,2,5,1,2,3,2,2,0,0,0,0,0,0,0,0,1,1,-.691062891487699,1,0,0,0
5034,1,13,12-17,1,1, , ,6,4,1,1,6,5,1,0,0,0,0,0,0,0,1,1,-.526251353085829,1,0,0,0
5036,2,58,55-64,2,1, ,2,7,3,2,3,12,1,0,0,0,7,0,0,4,0,1,1,-.279034045483024,.0833333333333333,0,.583333333333333,.333333333333333
5040,2,55,55-64,3,1, ,2,7,4,3,3,6,3,0,0,0,2,0,0,1,0,1,1,-.526251353085829,.5,0,.333333333333333,.166666666666667
5043,2,64,55-64,3,1, ,2,1,3,1,1,75,0,0,0,0,0,0,0,75,0,1,1,2.31674768434643,0,0,0,1
5049,1,34,25-34,2,1, ,1,7,1,4,3,17,2,1,1,3,1,3,0,5,1,1,1,-.0730196224806857,.176470588235294,.0588235294117647,.411764705882353,.352941176470588
5053,1,26,25-34,3,5,2,2,4,1,4,1,24,2,5,0,10,0,0,1,1,5,1,1,.215400569722587,.291666666666667,0,.416666666666667,.291666666666667
5057,2,50,45-54,3,1, ,2,7,3,4,3,6,1,1,0,0,0,0,0,3,1,1,1,-.526251353085829,.333333333333333,0,0,.666666666666667
5058,1,27,25-34,4,1, ,2,7,4,3,1,13,4,2,1,0,0,0,0,6,0,1,1,-.237831160882556,.461538461538462,.0769230769230769,0,.461538461538462
5070,1,40,35-44,1,1, ,1,7,1,4,3,19,2,2,0,0,0,0,1,14,0,1,1,.00938614672024944,.210526315789474,0,0,.789473684210526
5071,1,37,35-44,4,1, ,1,8,1,6,3,5,1,0,1,1,1,0,0,1,0,1,1,-.567454237686297,.2,.2,.4,.2
5073,1,47,45-54,4,5,2,1,4,1,3,3,11,0,3,0,4,2,0,0,2,0,1,1,-.320236930083491,.272727272727273,0,.545454545454545,.181818181818182
5076,2,53,45-54,2,1, ,2,2,1,2,1,65,0,0,0,0,0,0,0,65,0,1,1,1.90471883834176,0,0,0,1
5079,1,33,25-34,1,1, ,2,4,1,4,1,51,0,0,0,0,4,0,2,30,15,1,1,1.32787845393521,0,0,.0784313725490196,.92156862745098
5083,2,32,25-34,3,5,3,1,8,1,4,3,19,2,2,1,0,3,0,2,5,4,1,1,.00938614672024944,.210526315789474,.0526315789473684,.157894736842105,.578947368421053
5085,2,53,45-54,4,1, ,2,2,4,4,1,3,3,0,0,0,0,0,0,0,0,1,1,-.649860006887232,1,0,0,0
5103,2,24,18-24,3,5,3,1,5,4,3,3,21,1,1,0,0,15,0,0,4,0,1,1,.0917919159211846,.0952380952380952,0,.714285714285714,.19047619047619
5105,2,39,35-44,3,5,3,1,2,1,3,1,2,0,0,0,0,2,0,0,0,0,1,1,-.691062891487699,0,0,1,0
5112,2,45,45-54,4,1, ,2,3,4,3,1,3,0,0,0,0,0,0,0,2,1,1,1,-.649860006887232,0,0,0,1
5113,1,28,25-34,4,3, ,2,9,1,4,1,22,0,2,0,0,0,0,0,20,0,1,1,.132994800521652,.0909090909090909,0,0,.909090909090909
5114,2,58,55-64,4,4, ,2,4,4,2,1,11,0,0,0,0,0,0,2,1,8,1,1,-.320236930083491,0,0,0,1
5117,2,64,55-64,1,5,5,1,6,1,3,2,20,20,0,0,0,0,0,0,0,0,1,1,.050589031320717,1,0,0,0
5119,2,69,65-74,4,1, ,2,5,3,2,3,8,0,0,0,0,0,0,0,8,0,1,1,-.443845583884894,0,0,0,1
5124,2,51,45-54,2,1, ,1,5,1,4,3,30,3,0,1,0,1,1,2,20,2,1,1,.462617877325393,.1,.0333333333333333,.0666666666666667,.8
5129,2,48,45-54,3,5,3,1,6,1,4,3,3,0,0,0,0,0,0,0,2,1,1,1,-.649860006887232,0,0,0,1
5130,1,33,25-34,2,5,3,2,1,4,3,1,8,2,1,0,0,0,0,0,5,0,1,1,-.443845583884894,.375,0,0,.625
5136,2,41,35-44,1,1, ,1,8,1,4,3,4,2,0,0,0,1,0,0,0,1,1,1,-.608657122286764,.5,0,.25,.25
5140,1,35,35-44,2,1, ,1,6,1,4,3,8,2,0,1,0,2,1,0,2,0,1,1,-.443845583884894,.25,.125,.375,.25
5141,2,46,45-54,1,1, ,2,2,3,3,2,3,3,0,0,0,0,0,0,0,0,1,1,-.649860006887232,1,0,0,0
5144,2,28,25-34,3,1, ,1,3,1,4,2,25,10,0,0,0,5,0,0,10,0,1,1,.256603454323055,.4,0,.2,.4
5146,1,14,12-17,2,1, , ,7,4,1,1,1,0,0,1,0,0,0,0,0,0,1,1,-.732265776088167,0,1,0,0
5157,2,56,55-64,2,3, ,1,7,1,4,3,10,0,0,0,0,0,0,0,10,0,1,1,-.361439814683959,0,0,0,1
5159,1,35,35-44,2,2, ,1,9,1,6,3,55,0,4,5,3,2,8,8,15,10,1,1,1.49268999233708,.0727272727272727,.0909090909090909,.236363636363636,.6
5163,1,56,55-64,3,1, ,2,10,3,6,1,2,2,0,0,0,0,0,0,0,0,1,1,-.691062891487699,1,0,0,0
5169,1,45,45-54,1,5,3,1,7,1,4,3,16,2,2,1,2,2,2,1,2,2,1,1,-.114222507081153,.25,.0625,.375,.3125
5201,1,34,25-34,1,1, ,2,5,1,6,1,9,1,1,1,1,1,1,1,1,1,1,1,-.402642699284426,.222222222222222,.111111111111111,.333333333333333,.333333333333333
